,,,,"eco-indicator 99, (H,A):ecosystem quality:total","eco-indicator 99, (H,A):human health:total","eco-indicator 99, (H,A):resources:total","eco-indicator 99, (H,A):total:total","ReCiPe Endpoint (H,A):ecosystem quality:total","ReCiPe Endpoint (H,A):human health:total","ReCiPe Endpoint (H,A):resources:total","ReCiPe Endpoint (H,A):total:total",ReCiPe Midpoint (H) V1.13 no LT:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13 no LT:climate change:GWP100,ReCiPe Midpoint (H) V1.13 no LT:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13 no LT:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13 no LT:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13 no LT:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13 no LT:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13 no LT:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13 no LT:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13 no LT:metal depletion:MDP,ReCiPe Midpoint (H) V1.13 no LT:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13 no LT:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13 no LT:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13 no LT:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13 no LT:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13 no LT:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13 no LT:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13 no LT:water depletion:WDP
238,11289,copper carbonate//[RoW] copper carbonate production,C(=O)([O-])[O-].[Cu+2],0.74794051,4.1025343,0.45070038,5.3011751,0.090938352,1.9041849,1.0218715,3.0169948,0.46836788,3.027044,0.94152148,0.35576413,0.018926849,27.380689,0.12315971,0.59575269,0.00408779,19.463729,-0.000982203,1.95966E-07,0.060534827,0.04522729,0.19561332,0.005451943,0.11453631,0.076135926
239,11290,copper oxide//[RoW] copper oxide production,O=[Cu],0.97857199,5.6299509,0.5941235,7.2026464,0.11279687,2.5960441,1.3782043,4.0870453,0.56596807,3.6553698,1.0113384,0.011374053,0.02611534,37.845828,0.1432321,0.41270624,0.005512547,26.900303,-0.001296727,2.10772E-07,0.081182992,0.059311593,0.26155389,0.009060304,0.14829458,0.055840292
241,1943,copper sulfate//[GLO] copper sulfate production,[O-]S(=O)(=O)[O-].[Cu+2],0.54678189,2.9990553,0.33995167,3.8857888,0.072891463,1.401875,0.75947718,2.2342437,0.33486812,2.5614174,0.81480377,0.26733699,0.01379927,19.969214,0.11082669,0.44092465,0.002984669,14.186597,-0.000733984,1.75309E-07,0.044713391,0.033695402,0.14356727,0.004855572,0.085467225,0.054169847
253,11291,"copper//[RoW] copper production, primary",[Cu],2.7347923,12.507061,1.0035526,16.245406,0.16229026,5.9294327,2.3810391,8.472762,0.52454423,4.8951321,1.3848142,0.023413107,0.057075738,119.63199,0.19457515,1.2771239,0.006638241,47.232143,-0.00246333,2.56661E-07,0.14531577,0.093355242,0.47675053,0.022567031,0.28144253,0.098005711
271,11297,cryolite//[RoW] cryolite production,F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],0.030884682,0.17623843,0.083596581,0.2907197,0.05036167,0.15050884,0.11600689,0.3168774,0.13275196,2.4043897,0.89303945,0.003089749,0.000326254,0.82685814,0.10989761,0.00490696,0.00041301,0.23897623,-0.000203995,6.21817E-07,0.008235372,0.010202055,0.020868642,0.000252275,0.026576806,0.065652943
273,11298,cumene//[RoW] cumene production,CC(C)C1=CC=CC=C1,0.009504914,0.086448757,0.20696897,0.30292264,0.044506302,0.1024888,0.2301705,0.3771656,0.04611502,2.3680195,1.9585597,0.000895622,0.000120427,0.084305288,0.020204318,0.001180933,0.000197337,0.040553574,-0.000116466,3.0403E-08,0.00471483,0.013644521,0.008269695,5.97733E-05,0.01172533,0.036603854
274,11299,cyanoacetic acid//[RoW] cyanoacetic acid production,C(C#N)C(=O)O,0.0254572,0.19697432,0.23374766,0.45617918,0.096906418,0.22032106,0.27298794,0.59021543,0.17507313,4.7720619,2.3012173,0.016378169,0.000379358,0.81960689,0.21611213,0.012274717,0.003253402,0.20591883,-0.000260287,1.24961E-06,0.009710799,0.014838822,0.020544871,0.004340428,0.033564506,0.094831953
275,11300,cyanogen chloride//[RoW] cyanogen chloride production,C(#N)Cl,0.020852129,0.18079943,0.18093902,0.38259058,0.091467498,0.21352626,0.22159823,0.52659198,0.1259781,4.7478701,1.8886428,0.003436384,0.00032751,0.86869701,0.1485075,0.012744149,0.004293517,0.14000276,-0.000211013,1.32029E-06,0.009214838,0.011984067,0.019164634,0.001323793,0.024783076,0.081365669
276,1956,cyanuric chloride//[GLO] cyanuric chloride production,C1(=NC(=NC(=N1)Cl)Cl)Cl,0.023548032,0.1967592,0.19370155,0.41400878,0.10175106,0.23503272,0.23878083,0.57556461,0.16939394,5.2330067,2.0358077,0.003213277,0.000397375,0.98247081,0.17368022,0.013989859,0.004128035,0.1785422,-0.000237154,1.32081E-06,0.009727922,0.012914079,0.02063452,0.00142606,0.027060304,0.092612395
278,11302,cyclohexane//[RoW] cyclohexane production,C1CCCCC1,0.011835955,0.10127981,0.1894406,0.30255637,0.0466401,0.11187535,0.22930612,0.38782157,0.07310065,2.4108764,1.9446223,0.000765323,0.000148947,0.10051977,0.018247313,0.001404594,0.000226094,0.044449758,-0.000148647,6.19587E-08,0.005668512,0.014670051,0.010017362,7.45531E-05,0.015557157,0.033848724
279,11303,cyclohexanol//[RoW] cyclohexanol production,C1CCC(CC1)O,0.013114712,0.11290375,0.19366658,0.31968504,0.053178538,0.12441553,0.22913818,0.40673225,0.073435138,2.7681434,1.9358236,0.001905997,0.000175798,0.15203587,0.048350584,0.001947649,0.00025554,0.073584217,-0.000161287,8.52029E-08,0.005919032,0.015695105,0.010209967,0.000104366,0.017881158,0.046074035
280,11304,cyclohexanone//[RoW] cyclohexanone production,C1CCC(=O)CC1,0.020893817,0.16317259,0.22350333,0.40756974,0.085812894,0.19407776,0.28502081,0.56491147,0.20904164,4.2684212,2.4250459,0.007217179,0.000238839,0.26704745,0.049132573,0.006451348,0.000394274,0.08758761,-0.000234829,1.80854E-07,0.008947276,0.019951752,0.018668941,0.000163491,0.026725437,0.037635526
281,11305,decabromodiphenyl ether//[RoW] decabromodiphenyl ether production,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,0.062252391,0.44564654,0.42711525,0.93501418,0.2453426,0.56632697,0.51069036,1.3223599,0.32583597,12.618424,4.4271476,0.044001858,0.000538675,0.87669884,0.3762492,0.060823813,0.004145104,0.28819865,-0.000428498,1.94183E-06,0.02697011,0.05957085,0.073305222,0.007291822,0.049625748,0.89039975
296,11322,dichloromethane//[RoW] dichloromethane production,C(Cl)Cl,0.007956826,0.11466601,0.080707437,0.20333028,0.060416759,0.16343936,0.087522302,0.31137842,0.000203364,3.4297381,0.82430461,0.001011019,2.75455E-06,0.51490235,0.000233553,0.001114844,0.000550441,0.002212562,-6.19619E-07,8.79787E-05,0.009094157,0.016758111,0.020869364,7.70392E-05,0.000308929,0.010478798
297,15522,"dichloropropene//[RoW] allyl chloride production, reaction of propylene and chlorine",C(C=CCl)Cl,0.016738889,0.15925525,0.26823792,0.44423206,0.07736081,0.177578,0.29284531,0.54778412,0.12191048,4.0182477,2.4626725,0.002667295,0.000241817,0.29389694,0.10818442,0.00307435,0.000471189,0.1291692,-0.000186848,1.09935E-06,0.00804137,0.012169067,0.01504248,0.000162918,0.020770368,0.057664605
304,13491,diethanolamine//[RoW] ethanolamine production,C(CO)NCCO,0.010767263,0.11926725,0.19680149,0.326836,0.054191056,0.11871904,0.20365755,0.37656764,0.058114137,2.8763672,1.7346482,0.002344102,0.000134729,0.20947792,0.068037065,0.002496575,0.005726292,0.081271679,-0.000104867,1.10367E-07,0.004765505,0.008067836,0.009697649,0.000145613,0.009707856,0.033527677
306,15611,"diethyl ether, without water, in 99.95% solution state//[RoW] ethylene hydration",CCOCC,0.011819369,0.090829087,0.4150665,0.51771495,0.069350193,0.1420827,0.39234653,0.60377943,0.10190834,3.6642425,3.355748,0.001166248,0.001219341,0.17753741,0.018943471,0.002015079,0.00028434,0.11123076,-9.25391E-05,5.46748E-08,0.004481082,0.018327358,0.011852183,8.89431E-05,0.010763943,0.042823638
307,13493,diethylene glycol//[RoW] ethylene glycol production,C(COCCO)O,0.008074901,0.0801011,0.1598919,0.2480679,0.041468816,0.093099252,0.16796993,0.302538,0.052321641,2.1995664,1.414919,0.000983743,0.000121171,0.13255378,0.050582889,0.001430332,0.000186705,0.071148004,-9.26302E-05,4.31884E-08,0.003922229,0.006816548,0.007135549,5.97033E-05,0.008120666,0.020992591
309,11326,dimethenamide//[RoW] dimethenamide production,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C,0.11111535,1.1546457,0.69288983,1.9586508,0.32329973,1.3137734,0.87278349,2.5098566,0.67159119,15.898015,7.1854741,0.01787207,0.001298584,1.9792321,0.67686331,0.025855371,0.004554657,0.7310895,-0.000968869,3.42695E-06,0.093822658,0.075250279,0.36018352,0.001813619,0.10580165,0.33484017
310,15583,dimethyl carbonate//[RoW] dimethyl carbonate production,COC(=O)OC,0.010489627,0.078227313,0.14411943,0.23283638,0.041390972,0.089759642,0.15266463,0.28381525,0.084413892,2.0853678,1.3144658,0.00283237,0.000162787,0.19287341,0.071721195,0.002557279,0.000251484,0.11295175,-0.000107816,1.38719E-07,0.003367171,0.008231575,0.007202209,0.000201403,0.012592563,0.018545931
311,11327,dimethyl ether//[RoW] dimethyl ether production,COC,0.005787328,0.047053908,0.16942313,0.22226436,0.026618236,0.055841718,0.16374094,0.24620089,0.028356738,1.3315054,1.5871308,0.008379102,0.000107738,0.14551864,0.029275705,0.003181984,0.000125224,0.071691214,-6.83126E-05,2.97929E-07,0.002069828,0.004764716,0.004574401,0.000165516,0.007717779,0.018717287
312,2013,dimethyl hexanediol//[GLO] dimethyl hexanediol production,CC(C)(CCC(C)(C)O)O,0.017421664,0.1603521,0.2235714,0.40134517,0.083865845,0.19000331,0.2540808,0.52794996,0.11270326,4.4054269,2.1960895,0.002482486,0.000306154,0.2627318,0.1348274,0.003042294,0.000409814,0.11742878,-0.000182447,1.61295E-07,0.008250021,0.021600937,0.016997447,0.000157533,0.019078448,0.062025634
313,2014,dimethyl hexynediol//[GLO] dimethyl hexynediol production,CC(C)(C#CC(C)(C)O)O,0.013667633,0.12945213,0.19975873,0.34287849,0.069006878,0.15666801,0.22210224,0.44777713,0.083071576,3.649412,1.9324904,0.001992409,0.000243463,0.19505316,0.10840934,0.00226047,0.000345356,0.077446877,-0.00013898,1.17564E-07,0.006897095,0.019744855,0.014537079,0.000126889,0.015116781,0.055540387
314,11328,dimethyl malonate//[RoW] dimethyl malonate production,COC(=O)CC(=O)OC,0.031200732,0.23390721,0.26389998,0.52900793,0.10980209,0.25204934,0.31118628,0.67303772,0.21505718,5.3860667,2.6418165,0.01668905,0.000474489,0.93558409,0.2306658,0.013764889,0.10326134,0.28840436,-0.000324049,1.54476E-06,0.011040848,0.016577134,0.022819385,0.003729575,0.042256479,0.11656827
315,11329,dimethyl sulfate//[RoW] dimethyl sulfate production,COS(=O)(=O)OC,0.014821245,0.097386948,0.099958903,0.2121671,0.027833591,0.079189884,0.11081086,0.21783433,0.064557248,1.3229969,0.97161708,0.00465671,0.000200739,0.22891488,0.051941389,0.003429067,0.00017674,0.15121353,-0.000110591,1.83219E-07,0.004196778,0.005492327,0.011634359,0.000185039,0.013813528,0.046912372
316,11330,dimethyl sulfide//[RoW] dimethyl sulfide production,CSC,0.00864439,0.065535395,0.20857289,0.28275268,0.035864628,0.076689626,0.20495583,0.31751008,0.043786927,1.7697847,1.9163713,0.009555597,0.000129985,0.20741053,0.074938186,0.004129361,0.000174033,0.087217342,-9.27648E-05,3.65843E-07,0.003085284,0.006064259,0.006965602,0.000226972,0.011511793,0.027894299
317,11331,dimethyl sulfoxide//[RoW] dimethyl sulfoxide production,CS(=O)C,0.00717921,0.054469058,0.16832244,0.22997071,0.028238431,0.060920061,0.16559938,0.25475787,0.038780709,1.3811236,1.54842,0.007685361,0.000112205,0.17334373,0.059597014,0.003285612,0.000141136,0.077839087,-7.91149E-05,2.90596E-07,0.002513847,0.004481245,0.005462321,0.000167674,0.009616326,0.024747787
318,2019,dimethylacetamide//[GLO] dimethylacetamide production,CC(=O)N(C)C,0.016260264,0.11672048,0.23292036,0.3659011,0.062252405,0.13360175,0.24269936,0.43855352,0.097312797,3.0583992,2.1779088,0.009525884,0.000217875,0.31463621,0.16359292,0.005761585,0.008876092,0.13837275,-0.000160547,5.47057E-07,0.005600763,0.010118366,0.012644148,0.000552787,0.019735453,0.052751905
319,2020,dimethylamine borane//[GLO] dimethylamine borane production,[B].CNC,0.045313826,0.36366913,0.34663727,0.75562023,0.14402278,0.3574305,0.41737519,0.91882847,0.26112764,7.1740064,3.6784268,0.015228504,0.000608276,0.91639463,0.32872584,0.01141238,0.013517286,0.34357147,-0.00037462,1.11817E-06,0.018815335,0.023048708,0.038127367,0.000660233,0.047675878,0.10929839
320,11332,dimethylamine//[RoW] dimethylamine production,CNC,0.011268488,0.073375847,0.22548468,0.31012902,0.046314591,0.096063236,0.21769347,0.36007129,0.038848601,2.3610462,2.0713519,0.010806953,0.000132345,0.25401122,0.064579551,0.005439103,0.015956816,0.093346277,-8.87749E-05,4.3683E-07,0.003554503,0.006646115,0.009539408,0.000342587,0.010727368,0.032270979
321,11333,dimethylaminopropylamine//[RoW] dimethylaminopropylamine production,CN(C)CCCN,0.017504346,0.12271287,0.27227766,0.41249488,0.072662185,0.15607582,0.27456652,0.50330453,0.076900783,3.7827982,2.4508184,0.007376721,0.000178406,1.4801602,0.09532404,0.00550905,0.015838056,0.1164833,-0.000138411,3.56084E-07,0.006340806,0.009814035,0.01726081,0.000421356,0.016324955,0.048748269
322,2023,dimethyldichlorosilane//[GLO] dimethyldichlorosilane production,C[Si](C)(Cl)Cl,0.023505685,0.24047093,0.13777086,0.40174747,0.13337617,0.27307102,0.18840556,0.59485276,0.69157213,6.034649,1.6841693,0.002214934,0.000178925,0.67202481,0.12342076,0.002418993,0.000759003,0.051230212,-0.000191137,0.000839948,0.014236057,0.024535575,0.029318438,0.000168098,0.023035604,0.038060732
324,2025,dinitrogen tetroxide//[GLO] dinitrogen tetroxide production,[N+](=O)([N+](=O)[O-])[O-],0.035023019,0.10942879,0.073870456,0.21832226,0.03404726,0.10725903,0.083912248,0.22521853,0.054608412,1.6805621,0.71458756,0.002758581,0.000113163,0.20742048,0.07168769,0.003394919,0.004359208,0.084587438,-8.12633E-05,1.85636E-07,0.009529776,0.003662642,0.056745424,0.000218798,0.008446187,0.028825056
326,11335,dioxane//[RoW] dioxane production,C1COCCO1,0.018830022,0.16982406,0.25305183,0.44170591,0.094023071,0.20576102,0.28589639,0.58568048,0.18572868,4.8109878,2.4117528,0.002635332,0.000257277,0.31019048,0.10975615,0.003259859,0.000415292,0.13784189,-0.000212757,1.45518E-07,0.008482825,0.013873677,0.017571343,0.000169203,0.022761171,0.14878431
328,11337,dipropyl amine//[RoW] dipropyl amine production,CCCNCCC,0.025547065,0.21810104,0.30588776,0.54953587,0.12016339,0.26356899,0.35491866,0.73865103,0.27394502,5.9341605,2.9587772,0.004718406,0.000291861,0.41408581,0.22417301,0.004849914,0.001256605,0.12848018,-0.000272991,5.18141E-07,0.011779615,0.022432606,0.026880131,0.000310365,0.030254808,0.098806435
329,11338,dipropylene glycol monomethyl ether//[RoW] dipropylene glycol monomethyl ether production,COCCCOCCCO,0.022380636,0.21072904,0.22472648,0.45783616,0.092116662,0.2228466,0.27363985,0.5886031,0.15583378,4.6970527,2.2982296,0.004457258,0.000344781,0.95878888,0.17774886,0.012054049,0.000608069,0.17713236,-0.000264726,1.62657E-06,0.010284111,0.016049672,0.018073709,0.001182205,0.030474126,0.090079661
338,2041,"dodecanol//[GLO] dodecanol production, ziegler process",CCCCCCCCCCCCO,0.004799158,0.046411623,0.21745664,0.26866742,0.034658557,0.071682619,0.20490521,0.31124639,0.027949707,1.8891843,1.7671992,0.000602977,5.79064E-05,0.06714874,0.024140531,0.00081025,0.000147071,0.038674722,-4.06509E-05,4.34245E-08,0.002382699,0.086349127,0.005506109,3.42291E-05,0.003694579,0.015410486
348,11357,"DTPA, diethylenetriaminepentaacetic acid//[RoW] DTPA production",C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.018407625,0.1398122,0.20251055,0.36073038,0.074805103,0.16644975,0.22224416,0.46349901,0.10303338,3.8580155,1.9375212,0.025548584,0.000265728,0.46467906,0.10833767,0.00632235,0.013051585,0.14533759,-0.00017197,6.95253E-07,0.00684774,0.01075558,0.015193555,0.000942189,0.021553843,0.066310461
352,11362,"EDTA, ethylenediaminetetraacetic acid//[RoW] EDTA production",C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,0.018726489,0.14407709,0.20480937,0.36761295,0.076764676,0.17102321,0.22600564,0.47379352,0.10483433,3.9617931,1.9702019,0.025653491,0.00027051,0.46973573,0.11236381,0.006390296,0.013060766,0.14577761,-0.000177015,7.00672E-07,0.007079714,0.011000928,0.015565715,0.000947599,0.021947619,0.056504931
382,15494,epichlorohydrin//[RoW] epichlorohydrin production from allyl chloride,C1C(O1)CCl,0.013149838,0.11018472,0.1033624,0.22669696,0.056271289,0.12373667,0.1289489,0.30895686,0.1133412,2.8471759,1.0520343,0.002113576,0.000172973,0.22726897,0.090432803,0.002781774,0.000322437,0.096389487,-0.00013724,7.81365E-07,0.005396037,0.007374766,0.009775017,0.000152008,0.017877703,0.03460975
388,15688,ethane//[RoW] natural gas production,CC,0.00117329,0.010157464,0.23246499,0.24379575,0.00944538,0.021152589,0.20919639,0.23979436,0.001739169,0.45083644,2.1159302,0.024548935,4.18868E-06,0.34243032,0.003351426,0.006961409,4.44955E-05,0.002603375,-3.67183E-06,1.24558E-08,0.000689445,0.002427728,0.002686877,0.000354156,0.000666043,0.000381945
393,15596,"ethanol, without water, in 95% solution state, from fermentation//[RoW] ethanol production from maize",CCO,0.21144159,0.10476899,0.085177438,0.40138802,0.98516359,0.13210442,0.10654846,1.2238165,2.243903,3.0718686,0.92405974,0.01149395,0.000447334,0.16075397,0.068643694,0.003558713,0.00973672,0.055308756,-0.000117806,2.21673E-07,0.006551725,0.008585692,0.021839521,0.015446578,0.095341025,0.55609321
413,11437,ethyl acetate//[RoW] ethyl acetate production,CCOC(=O)C,0.013559085,0.099182184,0.19677366,0.30951493,0.056358659,0.12024082,0.20914702,0.3857465,0.13300761,2.729049,1.7805655,0.004199245,0.000390865,0.23010658,0.11281091,0.003275838,0.000264893,0.10877045,-0.000137834,3.12972E-07,0.004933014,0.011874403,0.011732498,0.000384452,0.017631012,0.041558574
414,11438,ethyl benzene//[RoW] ethyl benzene production,CCC1=CC=CC=C1,0.010014487,0.089821734,0.1981498,0.29798602,0.04339586,0.10215886,0.22614077,0.37169549,0.048620803,2.294277,1.9209528,0.000831086,0.000127918,0.086018374,0.020710963,0.001234287,0.000202732,0.040874692,-0.000125102,3.14116E-08,0.004942415,0.013765602,0.008474562,6.2338E-05,0.012634479,0.037667557
415,11439,"ethyl tert-butyl ether//[RoW] ethyl tert-butyl ether production, from bioethanol",CCOC(C)(C)C,0.14255654,0.11828076,0.12351397,0.38435128,0.25408644,0.067648545,0.11990457,0.44163955,1.2481554,1.5487502,0.98027578,0.007323226,0.000152005,0.16854718,0.14865607,0.002166381,0.005324804,0.027066374,-5.62207E-05,4.30381E-07,0.00405199,0.009161634,0.01060661,0.03094729,0.0297136,0.17781586
416,11440,ethylamine//[RoW] ethylamine production,CCN,0.013730411,0.086416222,0.22016887,0.3203155,0.05747021,0.12043566,0.21730816,0.39521403,0.071907596,2.989029,1.8569509,0.00323208,0.000526466,0.24174615,0.063052137,0.003923323,0.007780414,0.10033608,-9.70292E-05,1.90187E-07,0.004335075,0.011763208,0.011623471,0.000265497,0.013353294,0.049569005
417,11441,ethylene bromide//[RoW] ethylene bromide production,C(CBr)Br,0.022319098,0.16882039,0.23000038,0.42113987,0.11658618,0.24400959,0.26581427,0.62641004,0.14416205,6.0790455,2.3073038,0.006248964,0.000251972,0.45208704,0.17782124,0.008297333,0.000474462,0.12905299,-0.000201418,9.15871E-07,0.008353885,0.013217956,0.02057563,0.000705246,0.023065179,0.44857893
418,11442,ethylene carbonate//[RoW] ethylene carbonate production,C1COC(=O)O1,0.006624624,0.041858756,0.099755332,0.14823871,0.027087768,0.055429231,0.10190618,0.18442318,0.074242532,1.3529424,0.84756588,0.00032986,0.000106677,0.10862039,0.063762766,0.001222763,0.000178989,0.074994493,-5.34076E-05,5.36607E-08,0.001582511,0.00375384,0.004493985,0.0001309,0.005585065,0.01479861
419,11443,ethylene dichloride//[RoW] ethylene dichloride production,C(CCl)Cl,0.009429624,0.058291248,0.076307585,0.14402846,0.025174701,0.059396786,0.087381841,0.17195333,0.045986205,1.2803654,0.71812443,0.000789325,0.000103053,0.12435149,0.040337554,0.001339792,0.000168043,0.065059586,-7.3883E-05,4.32882E-07,0.002778109,0.004026937,0.004963598,0.000452723,0.008291917,0.021261226
420,11444,ethylene glycol diethyl ether//[RoW] ethylene glycol diethyl ether production,CCOCCOCC,0.017429034,0.1463001,0.20126885,0.36499798,0.067409224,0.15270616,0.22438105,0.44449644,0.11317593,3.4670318,1.8644455,0.002102944,0.000393406,0.2945825,0.097100501,0.00319308,0.000367701,0.14945851,-0.000180895,5.39605E-07,0.006604615,0.011386522,0.012273362,0.000320062,0.021678924,0.057251144
421,11445,ethylene glycol dimethyl ether//[RoW] ethylene glycol dimethyl ether production,COCCOC,0.009499847,0.093850052,0.19724948,0.30059938,0.045612165,0.099313654,0.2011001,0.34602592,0.055871923,2.3649056,1.8041576,0.005469683,0.000150562,0.19046498,0.05331782,0.002934352,0.000206043,0.096678044,-0.000109435,2.02284E-07,0.003942644,0.007443699,0.007628563,0.000145149,0.011756207,0.033066921
422,11446,ethylene glycol monoethyl ether//[RoW] ethylene glycol monoethyl ether production,CCOCCO,0.008458539,0.084459711,0.17887325,0.2717915,0.043450708,0.094182132,0.18179738,0.31943022,0.058483671,2.2910072,1.5386408,0.001167645,0.000306389,0.14329397,0.040888625,0.001575724,0.000188526,0.077609945,-8.89074E-05,5.15812E-08,0.00361474,0.008089439,0.007245576,7.1699E-05,0.009491246,0.030505256
423,13494,ethylene glycol//[RoW] ethylene glycol production,C(CO)O,0.007359784,0.072098923,0.1376197,0.21707841,0.036569484,0.082535887,0.14573099,0.26483636,0.04824964,1.933668,1.2247961,0.000885892,0.000111386,0.12198589,0.04578456,0.001317417,0.000166082,0.066357785,-8.48422E-05,3.91398E-08,0.003510692,0.005981038,0.006350828,5.43067E-05,0.007438537,0.018240181
424,11447,ethylene oxide//[RoW] ethylene oxide production,C1CO1,0.005934028,0.066401348,0.18481424,0.25714962,0.04065456,0.087654444,0.18453832,0.31284733,0.033789377,2.2064195,1.5776358,0.000811968,8.11978E-05,0.087682407,0.039816438,0.000936961,0.000171132,0.039749139,-6.46254E-05,3.35956E-08,0.003414924,0.006916486,0.006511602,4.47793E-05,0.005660292,0.022839451
425,11450,ethylene vinyl acetate copolymer//[RoW] ethylene vinyl acetate copolymer production,CC(=O)OC=C.C=C,0.007312045,0.059203745,0.22195131,0.2884671,0.040405835,0.083705997,0.21306658,0.33717841,0.04672929,2.1365219,1.8273265,0.001312302,8.36663E-05,0.10197234,0.044815291,0.001368505,0.000208129,0.056135528,-6.20144E-05,8.61099E-08,0.002965,0.007158165,0.006577361,0.000119566,0.007053555,0.033738553
426,11448,"ethylene, average//[RoW] ethylene production, average",C=C,0.00146792,0.019946946,0.20738069,0.22879555,0.024535431,0.047292321,0.18619851,0.25802626,0.000150551,1.3968881,1.6187641,0.000163944,7.60622E-07,0.003887285,8.52567E-05,8.20417E-05,9.46132E-05,0.000406017,-2.53303E-07,4.82885E-10,0.001239236,0.004816454,0.003530417,8.77703E-06,6.85585E-05,0.01051702
428,11451,ethylenediamine//[RoW] ethylenediamine production,C(CN)N,0.027284972,0.1975104,0.28976309,0.51455846,0.09934241,0.22700389,0.31694121,0.6432875,0.13313818,5.1373495,2.679596,0.005939424,0.000293635,0.72661852,0.17292967,0.007148425,0.01254989,0.17843133,-0.000224539,1.05876E-06,0.009820882,0.014109549,0.020966676,0.000724932,0.025915365,0.08910903
512,11504,"fluorine, liquid//[RoW] fluorine production, liquid",FF,0.073579639,0.78131043,0.27875661,1.1336467,0.26766915,0.70900286,0.52890244,1.5055744,0.41782007,13.74088,4.3531,0.012940741,0.001110068,1.4050256,0.64881123,0.011876324,0.001574427,0.39883742,-0.000933303,6.39026E-07,0.041329046,0.04148824,0.072739169,0.000695921,0.080493865,0.12247274
513,4213,"fluorspar, 97% purity//[GLO] fluorspar production, 97% purity",[F-].[F-].[Ca+2],0.002481532,0.015744745,0.002987613,0.021213889,0.004179198,0.01206431,0.007470687,0.023714196,0.025452876,0.17121122,0.043553428,0.000116172,4.00077E-05,0.066853553,0.006302605,0.000532603,2.40417E-05,0.035729744,-2.50855E-05,7.20063E-09,0.000673244,0.000565792,0.001103504,1.62243E-05,0.002536011,0.000789616
515,15722,"fluosilicic acid, without water, in 22% solution state//[RoW] phosphoric acid production, dihydrate process",F.F.F[Si](F)(F)F,0.13128328,0.24844924,0.19161716,0.57134969,0.12037161,0.20774773,0.20188119,0.53000053,0.25497799,2.5108447,1.7420266,0.007106702,0.000391858,0.37134523,0.26796639,0.01102338,0.000761393,0.15837142,0.000350115,4.01489E-07,0.016800474,0.014873059,0.048878485,0.002578406,1.3060574,0.31026136
525,11509,folpet//[RoW] folpet production,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,0.023321285,0.15605291,0.20348591,0.38286011,0.075522185,0.17552446,0.23342019,0.48446683,0.16217471,3.7667683,1.9880848,0.004374824,0.000249311,0.57105799,0.12406011,0.008553206,0.001061268,0.15013294,-0.000197931,6.00201E-07,0.007931067,0.013701339,0.016877878,0.00072839,0.023341608,0.051509073
528,15584,formaldehyde//[RoW] dimethyl carbonate production,C=O,0.003387866,0.025265308,0.046546682,0.075199856,0.013368165,0.028989938,0.04930655,0.091664654,0.027263406,0.67351744,0.42453693,0.000914779,5.25759E-05,0.0622929,0.023164008,0.000825932,8.12225E-05,0.036480361,-3.48217E-05,4.48026E-08,0.001087505,0.002658576,0.002326119,6.50477E-05,0.004067058,0.005989835
530,11511,"formic acid//[RoW] formic acid production, methyl formate route",C(=O)O,0.014378919,0.13093664,0.13630456,0.28162012,0.066499035,0.14697035,0.17388231,0.3873517,0.16498961,3.1887273,1.4456855,0.00323816,0.000181969,0.23595159,0.17047114,0.00257136,0.000308194,0.071140361,-0.000174845,4.04831E-07,0.007034911,0.009444545,0.014978432,0.000142965,0.017362507,0.15553281
533,11513,fosetyl-Al//[RoW] fosetyl-Al production,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],0.037345049,0.24583096,0.14462653,0.42780254,0.1081646,0.27940636,0.20329343,0.59086439,0.23072543,5.0588093,1.6386948,0.004040362,0.007224261,0.66484051,0.20723867,0.00757198,0.008247543,0.25597847,-0.000255983,6.92413E-07,0.012150232,0.017304317,0.025233492,0.001033737,0.12889845,0.099620002
